Movie,Genre,Production_Budget,Total_Domestic_Box_Office,Rating_IMDB,Location
Avatar,Action,425000000,760507625, 8.0, Fantasy
The Blind Side,Drama,35000000,255959475, 7.6, Asian
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,180000000,291710957, 6.9, Fantasy
The Dark Knight,Action,185000000,533345358, 9.0, West
ET: The Extra-Terrestrial,Drama,10500000,435110554, 7.9, West
Finding Nemo,Adventure,94000000,380529370, 8.1, Fantasy
Ghostbusters,Comedy,30000000,238632124, 7.8, West
The Hunger Games,Thriller/Suspense,80000000,408010692, 7.2, West
Iron Man 3,Action,200000000,396702239, 7.6, West
Jurassic Park,Action,63000000,395708305, 8.0, West
King Kong,Adventure,207000000,218080025, 7.3, West
The Lion King,Adventure,79300000,422780140, 8.4, Fantasy
"Monsters, Inc.",Adventure,115000000,289423425, 8.0, Fantasy
The Twilight Saga: New Moon,Drama,50000000,296623634, 4.5, West
Oz the Great and Powerful,Adventure,200000000,233671832, 6.6, Fantasy
Pirates of the Caribbean: Dead Man's Chest,Adventure,225000000,423315812, 7.3, Fantasy
Quantum of Solace,Action,230000000,169368427, 6.7, West
Raiders of the Lost Ark,Adventure,20000000,248159971, 8.7, Fantasy
Star Wars Ep. I: The Phantom Menace,Adventure,115000000,474544677, 6.5, Fantasy
Titanic,Thriller/Suspense,200000000,658672302, 7.6, West
Up,Adventure,175000000,293004164, 8.3, Fantasy
The Vow,Drama,30000000,125014030, 6.7, Asian
The War of the Worlds,Action,132000000,234280354, 6.5, Asian
X-Men: The Last Stand,Action,210000000,234362462, 6.8, Fantasy
You've Got Mail,Drama,65000000,115821495, 6.3, Asian
Zookeeper,Romantic Comedy,80000000,80360866, 5.0, Asian
